Date,luna_headlines,Luna_avg
7/23/2022,"['Crypto: A Bernie Madoff-Style Scheme May Have Crushed Prominent Lenders', 'A New Stablecoin Bill From The Biden Administration May Pass Quickly In Congress', 'Terra (LUNA) Collapse Predicted 4 Years Ago; Check Out This Visionary Statement', 'South Korean Authorities Extend Terra Probe, Daniel Shin’s Home Raided', 'After Weeks Of Hiding, 3AC Founders Break Silence, Blame LUNA For Hedge Fund Collapse', '3AC Founders Cited Key Crypto Traders That Crashed The Firm', 'FTX Attempting To Purchase South Korea’s Second-Largest Crypto Exchange: Report', 'Can Bitcoin [BTC]’s movement above realized price fizzle out based on market sentiment?', 'LUNA INVESTOR ALERT: ROSEN, GLOBALLY RECOGNIZED INVESTOR COUNSEL, Encourages Terra Tokens Investors with Losses to Secure Counsel Before Important Deadline in Securities Class Action - UST, LUNA, KRT, ANC, WHALE, ASTRO, APOLLO, XDEFI, MINE, aUST, vUST, MIR, mBTC, mETH, mVIXY, mTSLA, UST-mVIXY-LP, bLUNA-LUNA-LP, XDEFI-UST-LP, bLUNA, bETH', 'Three Arrows Capital Founders Cite 3 Key Crypto Trades That Blew Up the Firm']",0.045984848
7/22/2022,"['Want to Buy Stablecoins? Think Carefully', 'Three Arrows Capital Founders Say Terra, GBTC Trades Led to Fund Blowup: Report', 'Three Arrows Capital Founders Says Terra, GBTC Trades Led to Fund Blowup: Report', '3AC founders reveal ties to Terra founder, blame overconfidence for collapse', '3AC cofounders resurface after five weeks, deny allegations', ""Large institutions sold $5.5B in BTC since May — and we're still here"", 'Mike Novogratz warns that 200X returns from crypto are ‘not normal’', 'South Korean prosecutors said to have raided Terra cofounder Shin’s residence', 'To Use or Hold? Solving the Classic Crypto Conundrum With a Dual Token Model', 'Three Arrows Founders, En Route to Dubai, Describe ‘LTCM Moment’']",0.020595238
7/21/2022,"['Korean crypto startup Uprise to compensate investors after disastrous LUNC short trade', 'S.Korea prosecutors raid crypto exchanges as part of Terra-LUNA investigation', 'Blockchain.com Says Goodbye to 25% of Staff, Closes Argentina Office', 'Peter Brandt Predicts More Crypto Firms Will Go Bankrupt', 'Will Coinbase Survive Amid The Crypto Chaos?', 'Korean Prosecutors Raid Exchanges After Terra’s Probe', ""Mike Novogratz on Crypto Riches: 'It's Not Normal to Make 200 Times Your Money on Things'"", 'South Korea: The LUNA investigation is leading the FSC to check…', '7 South Korean Crypto Exchanges Raided In Connection with TerraUSD Crash: Report', 'South Korean Prosecutors Raid Crypto Exchanges in Association with TerraLUNA Investigation']",0.0075
7/20/2022,"['3 Cryptos to Avoid No Matter What', 'South Korean authorities raid 15 entities linked to Terra collapse: Report', 'EQUITY NOTICE: ROSEN, A TOP RANKED LAW FIRM, Encourages Terra Tokens Investors with Losses in Excess of $100K to Secure Counsel Before Important Deadline in Securities Class Action – UST, LUNA, KRT, ANC, WHALE, ASTRO...', 'UK financial markets bill authorizes regulation of stablecoins, service providers', 'Terraform Labs Investigation Intensifies: Seven Crypto Exchanges Linked To Collapse Raided', '7 Leading Exchanges Raided By Korean Prosecutors In Connection To Terra Fraud Inquest', 'Korean Prosecutors Raid Crypto Exchanges in Terra Probe', 'Terra Investigation Picks up Pace as South Korean Prosecutors Raid Top Exchanges', 'Prosecutors Raid Exchanges Tied to Terra Collapse', 'South Korean investigators raid 7 local exchanges in Terra probe']",0.074
7/19/2022,"['USD Coin Stablecoin Interest Update: CeFi Implosion', ""Singapore's financial watchdog pushes back against Terra and 3AC associations"", 'Crypto Hedge Fund Founders Bought $50M Yacht Before Going Bankrupt - CNET', 'Founders who ‘cannot be trusted’ and a $50 million yacht: New Three Arrows Capital bankruptcy filing sheds light on the crypto hedge fund’s epic demise', 'One-time ‘Lunatic’ crypto booster Mike Novogratz says he was ‘darn wrong’ about the ‘full-fledged credit crisis’', 'Celsius Lays Out Mining-Focused Reorganization Plan at First Bankruptcy Hearing', ""Is Gari's crash India's own Luna in the making? Experts say perhaps not!"", ""'Lunatic' Mike Novogratz: Crypto Industry 'Looks Like a Bunch of Idiots'"", ""Source claims 3AC's Deribit exposure is worth much less than reported"", 'Bedrock Cairn Sandals Review']",0.052878788
7/18/2022,"['Bitcoin price nears critical 200-week moving average as Ethereum touches $1.5K', 'One Ethereum Rival Tripled Its Share of Total Value Locked Across DeFi After Terra (LUNA) Implosion: New Study', 'The Three Arrows Capital Story: Cryptocurrency Hedge Fund', 'Terra LUNA leads the most trending cryptos as investors bet on higher prices', 'Terra Classic’s [LUNC] recent success might get you high on investing', 'Hong Kong Central Bank: Crypto is likely to be ‘important for future financial system’', ""ADA's Short-Term Price Predictions Leave Cardano Community Baffled: Details"", 'Investors lost over $100M after Invictus Capital moved funds into UST, Celsius against their wishes', 'Stablecoin Provider Circle Eyes Public Listing in Q4 This Year: CFO']",0.067205387
7/17/2022,"['What did Q2 have in store for DeFi’s market performance', 'Global crypto market cap rises 8% in 30 days despite bankruptcies in the sector', 'Experts Believe ADA Will Increase To $2.93 By 2025: Analysis', 'DeFi Market Cap Crashed By 75% But User Activity Is Doing Better', 'Meme Coins are Here to Stay - Now is the Time to Buy Dogecoin (DOGE), RoboApe (RBA), and Shiba Inu (SHIB)']",0.1
7/16/2022,"[""As Crypto Competition Heats Up, Here's What Smart Investors Are Watching"", 'Terra Classic [LUNC] makes a big move; was it backed by strong whale activity', 'Cardano (ADA) Will Increase To $2.93 By 2025, Says Experts', 'Bitcoin Is Down, But Its Case Has Never Been More Compelling.']",0.157275132
7/15/2022,"['As crypto winter looms, here’s list of all crypto companies announcing mass layoffs', ""DeFi market fell off cliff in Q2 but users haven't given up hope: Report"", 'Circle Unveils USDC Liquidity And Availability In Reserves', ""Bitcoin whales still 'hibernating' as BTC price nears $21K"", ""Bitcoin is now in its longest-ever 'extreme fear' period"", 'ECB report likens PoW to fossil fuel cars, PoS to electric vehicles', 'Terra’s Plot Thickens: Prosecutors Uncover Secret Subsidiary Used As Fund Channel', 'Circle discloses detailed report of reserves for its USDC stablecoin', 'Summary Of The Contagion Event That Brought On The Bear Market', 'Terra subsidiary used as funds channel for overseas affiliates: report']",-0.0125
7/14/2022,"['‘Never Buy It’—Warren Buffett’s Right-Hand Man Issued A Stark Crypto Warning After Terra Luna-Led Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Price Crash', 'Crypto Winter, or Crypto Ice Age?', 'Nascar Sponsor Files Bankruptcy', 'JPMorgan Says Bitcoin Cost of Production May Be Down to $13,000', 'Voyager token skyrockets as VGX pump scheme touted', 'Not All Algorithmic Stablecoins Will Be Terra: Binance CEO CZ', ""This ‘crypto winter’ is unlike any downturn in the history of digital currencies. Here's why"", 'Ethereum (ETH) Ready for ‘Significant Run,’ Says Top Crypto Analyst – Here’s His Target', 'YouTube investigator accuses Voyager of false marketing and points out ‘red flags’', 'Celsius becomes third major crypto firm in two weeks to file for bankruptcy']",-0.024305556
7/13/2022,"['Digital Asset Market Note: The Blow-Up Of 3AC', 'Vitalik Buterin defends Ethereum ahead of merge; ‘not a security’', 'Sei Network Helps Normalize Decentralized Finance With On-Chain Orderbook', ""'Let Crypto Build,' Says Congressman Tom Emmer"", 'KuCoin CEO Refutes Massive Layoff Rumors Instead Plans To Hire More Staff', 'The search term ‘Bitcoin Crash’ is trending — Here’s why', 'The fall of GARI: What’s happening with the Salman Khan backed social token', 'UK Lawmakers Seek Inputs On Regulation Of Digital Assets', 'Crypto meltdown: The Bitcoin Layer founder points to leverage as main culprit', 'Vitalik Buterin defends Ethereum ahead of merge; ‘not a security’']",0.045
7/12/2022,"['‘They couldn’t even scream any more. They were just sobbing’: the amateur investors ruined by the crypto crash', 'Why Bitcoin, Ethereum, and Dogecoin Fell Today', '3 Cryptos Beaten Down in 2022 That Are Ready to Bounce Back', '3AC co-founder returns to Twitter, blames liquidators for ""baiting""', ""BoE official compares current crypto market regulation to 'unsafe aeroplanes'"", 'Terra Projects Collaborate To establish On Polygon Layer 2', 'Mike Novogratz Has Tattoos of Terra (LUNA), Celsius Protocol and Other Failed Cryptos', 'Nearly 50 Terra-Based Projects Migrating to MATIC Ecosystem, According to Polygon Studios CEO', 'Behind Voyager’s Fall: Crypto Broker Acted Like a Bank, Went Bankrupt', 'Behind Voyager’s Fall: Crypto Broker Acted Like a Bank, Went Bankrupt']",-0.087268519
7/11/2022,"['Terra Projects Begin Moving to Polygon Months After UST Debacle', 'Terra Projects Begin Moving to Polygon Months After UST Debacle', 'Terra projects band together in migration to Polygon ecosystem', 'Major South Korean telecom company plans launch of blockchain wallet for crypto and NFTs', 'Terra Projects Start Moving To Polygon After UST Debacle: Report', 'How Polygon is taking advantage of this latest exodus from Terra', 'Terra Projects Abandon Ship For Polygon', ""Japan's Kyoto University experts propose artificial gravity habitats for Moon & Mars - Republic World"", 'Terra Luna crash shows need for ‘non-negotiables’ in crypto regulation, FCA', 'Vauld users to continue earning interest on their fixed deposits, says CEO Darshan Bathija']",0.00625
7/10/2022,"['Bitcoin Now Braced For A ‘Black Swan’ Shock After $2 Trillion Terra Luna-Led Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Price Crash', 'After Terra’s fall to Earth, get ready for the stablecoin era', 'Polygon Studios CEO Is Trying To Help Terra Projects And Here’s How', 'KuCoin Shuts Down Rumors Of Halting Withdrawals And Claims That It’s Enabling Fraud In Roller Coaster Day']",-0.030555556
7/9/2022,"[""Terra (LUNA) Projects Started Migration; Here's Destination"", ""'Opening Our Arms': Polygon CEO Ryan Wyatt on Rescuing Terra Projects"", 'KeyFi CEO sues Celsius on grounds of “failing to uphold the contract” and more', 'Institutional Investor Demand Drives Coinbase Bitcoin ($BTC) Price Premium Up', 'Russian Finance Minister backs legalization of transactions with stablecoins', 'Crypto Biz: Crypto broker goes bankrupt, Bitcoin miner capitulates and China VC funding soars']",0.083333333
7/8/2022,"['Sei Network Helps Normalize Decentralized Finance With On-Chain Orderbook', '#CryptoCrash Blood On The Crypto Streets', 'Fed Vice Chair Calls for More Crypto Regulation, Notes Terra Collapse', 'The risks and benefits of VCs for crypto communities', 'TRON DAO adds $20M to its reserve to safeguard against bear market', 'DeFi Platform Aave Unveils Another Decentralized Stablecoin', 'Cardano CEO slams ‘Twitter trolls’ for slandering network’s smart contracts', 'The New York Times’ Latest Attack On El Salvador And BTC Won’t Age Well, Pt. 1', 'Cardano must rise above $4 to match Ethereum’s market cap', 'Aave DeFi Protocol Plans To Launch Its Own Stablecoin: Report']",0.163246753
7/7/2022,"['‘Investors Ready To Pounce’—Bitcoin And Crypto Now Braced For A $140 Billion Earthquake After Terra Luna-Led Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Price Crash', 'Korean startup Uprise lost $20M shorting LUNA', 'South Korea’s Uprise said to have lost US$20 mln in client funds on LUNA short', 'South Korea may team up with US to investigate crypto crimes', 'Genesis Joins List of Firms That Liquidated Three Arrows Capital', 'CNBC’s Jim Cramer Says There’s Nothing Stopping Crypto Markets From Imploding Further – Here’s Why', 'Genesis Joined List Of Companies To Liquidate Three Arrows Capital', 'Bitcoin ($BTC) Has Been Moving out of Exchanges at ‘Most Aggressive Rate in History’', 'Alameda Research Owes Bankrupt Voyager $377M', 'DeFi Giant Aave Wants to Launch Its Own Stablecoin']",0.096666667
7/6/2022,"['Crypto Winter 2022: When Will the Crypto Crash End?', 'Korea and US agree to share investigation data on Tera-Luna', 'Shiba Inu Plans to Launch Stablecoin, Reward Token, Collectible Card Game', 'Shiba Inu Plans to Launch Stablecoin, Reward Token, Collectible Card Game', 'How This Company Lost 99% Of Its Clients Funds Shorting LUNA', 'U.S. and South Korean Officials Meet to Discuss Terra Collapse', 'USA and Korea Join Forces To Investigate Terra (LUNA) Collapse for Potential Financial Crimes: Report', 'Why did India’s first social token, GARI, witness a staggering drop in its price?', 'US, South Korea to cooperate over Terra investigation', 'UPRISE Lost $20M of Client Funds on LUNA Short Bet']",-0.075833333
7/5/2022,"[""Crypto market volatility shows need for 'enhanced regulatory and law enforcement frameworks' — BoE"", 'Bitcoin faces fresh pressure as US dollar crushes gold, risk assets', 'With the bear market in full throttle, crypto derivatives retain their popularity', 'Bollywood A-lister-backed GARI token plunge sparks rug pull rumors', 'Here’s why crypto exchange Vauld suspended deposit, withdrawal services', 'South Korea Boosts Crypto Regulations And Investigations', 'KuCoin’s KCS Token Drops Amid Insolvency Rumors: Analysis', 'Saxo Bank on Q3 for digital assets: Cryptocurrencies are currently in limbo', 'Nexo Aims For Acquisition Of Crypto Lender Vauld: Report', 'The End Of Meta’s Crypto Wallet - Novi']",0.065
7/4/2022,"['FTX Agrees Deal With BlockFi With Option to Acquire for $240 Million', 'Keys lost in the Vauld: Singapore crypto exchange freezes withdrawals', 'Terra’s de-pegged stablecoin USTC gains 270% in 30 days', ""Price of Bitcoin Exchange KuCoin's KCS Token Tanks Amid Insolvency Rumors"", 'Three Arrows Capital files for Chapter 15 bankruptcy', 'FTX Agrees Deal With BlockFi With Option to Acquire for $240 Million', 'MiCA – Not Good, Not Bad', 'Crypto Investors In Singapore May Soon Be Restricted from Leverage Trading', 'Cardano Successfully Launches Vasil Upgrade On Testnet', 'Crypto Market Crash Poses Many Questions About Digital Currency']",0.1
7/3/2022,"['Biden Official Reveals Crypto Plans Amid $2 Trillion Terra Luna Led Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Price Crash', 'Crypto week at glance: Volatility jolts crypto markets, BTC below $20k', 'Cryptocurrency hedge fund Three Arrows Capital files for Chapter 15 bankruptcy', 'This Week on Crypto Twitter: Bitcoin Whales Buy the Dip, Nic Carter Defends an Investment, SBF Memed as Atlas', 'Biden Official Reveals Crypto Plans Amid $2 Trillion Terra Luna Led Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Dogecoin Price Crash']",0
